N,GCD Time,
5,0,1
6,0,1
7,0,1
8,0,1
9,0.021,1
10,0.033,1
11,0.034,1
12,0.044,1
13,0.037,1
14,0.055,1
15,0.05,1
16,0.057,1
17,0.064,1
18,0.076,1
19,0.091,1
20,0.121,1
21,0.107,1
22,0.114,1
23,0.117,1
24,0.121,1
25,0.125,1
26,0.17,1
27,0.144,1
28,0.136,1
29,0.162,1
30,0.198,1
31,0.163,1
32,0.194,1
33,0.293,1
34,0.313,1
35,0.347,1
36,0.382,1
37,0.375,1
38,0.366,1
39,0.392,1
40,0.386,1
41,0.379,1
42,0.415,1
43,0.392,1
44,0.433,1
45,0.472,1
46,0.494,1
47,0.483,1
48,0.461,1
49,0.445,1
50,0.492,1
51,0.434,1
52,0.478,1
53,0.446,1
54,0.507,1
55,0.548,1
56,0.519,1
57,0.555,1
58,0.567,1
59,0.55,1
60,0.579,1
61,0.564,1
62,0.599,1
63,0.657,1
64,0.724,1
65,0.609,1
66,0.627,1
67,0.625,1
68,0.657,1
69,0.723,1
70,0.736,1
71,0.743,1
72,0.669,1
73,0.691,1
74,0.74,1
75,0.818,1
76,0.796,1
77,0.71,1
78,0.767,1
79,0.73,1
80,0.815,1
81,0.808,1
82,0.962,1
83,0.86,1
84,0.865,1
85,0.892,1
86,0.985,1
87,0.806,1
88,0.91,1
89,0.956,1
90,1.028,1
91,1.104,1
92,0.906,1
93,0.86,1
,0.859,
,1.012,
,0.975,
,1.014,
