번호,Fibonacci Time,Fibonacci,피보나치수,
5,0,0,0.021,1
6,0,0,0.033,1
7,0,0,0.034,1
8,0,0,0.044,1
9,0,5,0.037,1
10,0,8,0.055,1
11,0,13,0.05,1
12,0,21,0.057,1
13,0,34,0.064,1
14,0,55,0.076,1
15,0,89,0.091,1
16,0,144,0.121,1
17,0,233,0.107,1
18,0,377,0.114,1
19,0,610,0.117,1
20,0,987,0.121,1
21,0,1597,0.125,1
22,0,2584,0.17,1
23,0,4181,0.144,1
24,0,6765,0.136,1
25,0,10946,0.162,1
26,0,17711,0.198,1
27,0.001,28657,0.163,1
28,0.001,46368,0.194,1
29,0.001,75025,0.293,1
30,0.003,121393,0.313,1
31,0.005,196418,0.347,1
32,0.006,317811,0.382,1
33,0.01,514229,0.375,1
34,0.016,832040,0.366,1
35,0.027,1346269,0.392,1
36,0.061,2178309,0.386,1
37,0.092,3524578,0.379,1
38,0.128,5702887,0.415,1
39,0.199,9227465,0.392,1
40,0.391,14930352,0.433,1
41,0.536,24157817,0.472,1
42,0.915,39088169,0.494,1
43,1.473,63245986,0.483,1
44,2.187,102334155,0.461,1
45,3.667,165580141,0.445,1
46,5.81,267914296,0.492,1
47,10.021,433494437,0.434,1
48,15.566,701408733,0.478,1
49,25.173,1134903170,0.446,1
50,41.700001,1836311903,0.507,1
51,67.573997,2971215073,0.548,1
52,108.299004,4807526976,0.519,
53,175.108994,7778742049,0.555,
54,281.610992,12586269025,0.567,
55,449.578003,20365011074,0.55,
56,731.188995,32951280099,0.579,
57,1180.766998,53316291173,0.564,
58,1911.955993,86267571272,0.599,
59,3092.722991,1.39584E+11,0.657,
60,5004.678984,2.25851E+11,0.724,
61,8097.401975,3.65435E+11,0.609,
62,13102.08096,5.91287E+11,0.627,
63,21199.48293,9.56722E+11,0.625,
64,34301.56389,1.54801E+12,0.657,
65,55501.04683,2.50473E+12,0.723,
66,89802.61072,4.05274E+12,0.736,
67,145303.6575,6.55747E+12,0.743,
68,235106.2683,1.06102E+13,0.669,
69,380409.9258,1.71677E+13,0.691,
70,615516.1941,2.77779E+13,0.74,
71,995926.1199,4.49456E+13,0.818,
72,1611442.314,7.27235E+13,0.796,
73,2607368.434,1.17669E+14,0.71,
74,4218810.748,1.90392E+14,0.767,
75,6826179.182,3.08062E+14,0.73,
76,11044989.93,4.98454E+14,0.815,
77,17871169.11,8.06516E+14,0.808,
78,28916159.04,1.30497E+15,0.962,
79,46787328.15,2.11149E+15,0.86,
80,75703487.19,3.41645E+15,0.865,
81,122490815.3,5.52794E+15,0.892,
82,198194302.5,8.94439E+15,0.985,
83,320685117.9,1.44723E+16,0.806,
84,518879420.4,2.34167E+16,0.91,
85,839564538.3,3.78891E+16,0.956,
86,1358443959,6.13058E+16,1.028,
87,2198008497,9.91949E+16,1.104,
88,3556452456,1.60501E+17,0.906,
89,5754460953,2.59695E+17,0.86,
90,9310913409,4.20196E+17,0.859,
91,15065374361,6.79892E+17,1.012,
92,24376287770,1.10009E+18,0.975,
93,39441662131,1.77998E+18,1.014,
,63817949901,2.88007E+18,,
,1.03E+11,4.66005E+18,,
,1.67E+11,7.54011E+18,,
,2.70E+11,1.22002E+19,,
